Therapeutic Area,Market Size ($B),YoY Growth (%),Top Player,Market Share (%),Pipeline Drugs,Patent Expiry Risk,Forecast 2028 ($B)
Oncology,185.5,9.2,Roche,18.5,1250,Medium,298.4
Immunology,125.8,11.5,AbbVie,22.1,420,High,215.6
Cardiovascular,98.2,4.8,Pfizer,15.3,380,Low,118.5
Neurology,82.4,7.6,Biogen,14.8,520,Medium,128.9
Diabetes/Metabolic,76.3,8.9,Novo Nordisk,28.4,290,Low,124.7
Infectious Disease,68.9,3.2,Gilead,21.6,180,Medium,78.4
Respiratory,52.1,5.4,GSK,19.2,210,High,68.3
Rare Diseases,45.8,14.2,Sarepta,8.9,340,Low,98.6
Ophthalmology,28.4,6.8,Regeneron,32.1,145,Medium,42.1
Dermatology,24.6,7.1,AbbVie,24.5,120,Medium,38.2
